customer_id,customer_name,address,phone,market_segment
701,Customer#701,xKiAFTjUsCuxfeleNqefumTrjS,17-361-978-7059,AUTOMOBILE
302,Customer#302,MG9kdTD2WBHm,19-403-114-4356,BUILDING
508,Customer#508,KvpyuHCplrB84WgAiGV6sYpZq7Tj,11-237-758-6141,FURNITURE
758,Customer#758,9PWKuhzT4Zr1Q,13-924-679-8287,MACHINERY
639,Customer#639,izrh 6jdqtp2eqdtbkswDD8SG4SzXruMfIXyR7,29-768-330-6311,HOUSEHOLD
281,Customer#281,Hp8GyFQgGHFYSilH5tBfe,12-996-628-9902,AUTOMOBILE
173,Customer#173,7EV4Pwh3SboctTWt,12-839-426-4266,BUILDING
308,Customer#308,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,24-500-946-3315,FURNITURE
532,Customer#532,eaTXWWm10L9,30-197-936-4724,MACHINERY
873,Customer#873,HnaxHzTfFTZs8MuCpJyTbZ47Cm4wFOOgib,32-528-594-1931,HOUSEHOLD
